     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.207     0.626 101911
     2.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     2.000     0.000     1.114     0.506 101931
     2.000     0.000     0.000     0.000     0.000     0.000     2.000     2.000     2.000     0.000     2.000     0.000     0.727     0.619 101961
     2.000     1.000     2.000     1.000     2.000     0.000     2.000     1.000     1.000     1.000     2.000     0.000     1.940     0.531 101991
     1.000     2.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.036     0.536 102011
     2.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000     0.000     0.111     0.548 102031
     0.000     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.038     0.649 102061
     1.000     1.000     2.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.094     0.559 102121
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000    -1.173     0.632 102131
     2.000     0.000     2.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     2.000     0.000     0.627     0.549 102141
     1.000     2.000     0.000     0.000     1.000     0.000     2.000     1.000     0.000     0.000     2.000     0.000     0.523     0.557 102171
     2.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     2.000     0.000     2.000     0.000     1.226     0.520 102181
     2.000     0.000     2.000     0.000     1.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000     0.502     0.570 102191
     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -0.897     0.591 102231
     1.000     0.000     0.000     0.000     2.000     1.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.204     0.593 102241
     2.000     2.000     0.000     0.000     1.000     0.000     2.000     1.000     1.000     0.000     0.000     0.000     0.691     0.563 102291
     2.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000     0.000     0.000     0.000     0.000    -0.260     0.631 102301
     2.000     1.000     2.000     1.000     0.000     1.000     2.000     0.000     1.000     0.000     2.000     0.000     1.287     0.534 102361
     2.000     0.000     2.000     0.000     2.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.496     0.554 102371
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -1.021     0.634 102391
     1.000     0.000     1.000     0.000     1.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.032     0.535 102411
     2.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     2.000     0.000    -0.076     0.579 102451
     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.340     0.686 102471
     1.000     1.000     1.000     1.000     0.000     0.000     2.000     1.000     0.000     0.000     2.000     0.000     0.557     0.531 102581
     1.000     2.000     1.000     0.000     2.000     2.000     0.000     0.000     0.000     0.000     2.000     0.000     0.502     0.569 102611
     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.528     0.680 102701
     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    -1.174     0.632 102711
     2.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.120     0.526 102731
     2.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000    -0.352     0.570 102751
     1.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000    -0.058     0.595 102781
     1.000     1.000     2.000     1.000     2.000     1.000     0.000     1.000     1.000     0.000     1.000     0.000     0.992     0.519 102791
     0.000     1.000     1.000     0.000     2.000     1.000     1.000     1.000     1.000     1.000     2.000     0.000     1.133     0.514 102851
     0.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    -1.115     0.639 102931
     2.000     0.000     2.000     0.000     2.000     0.000     1.000     0.000     0.000     0.000     2.000     0.000     0.476     0.572 102981
     2.000     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.023     0.580 103031
     2.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.303     0.574 103051
     0.000     0.000     2.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000    -0.701     0.610 103061
     0.000     1.000     1.000     0.000     2.000     2.000     0.000     0.000     0.000     0.000     1.000     0.000    -0.098     0.571 103111
     2.000     2.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000     2.000     0.000     0.524     0.542 104511
     2.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.248     0.535 104561
     2.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000    -0.328     0.575 104661
     1.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.216     0.492 104721
     2.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000     2.000     1.000     2.000     0.000     1.001     0.531 104731
     2.000     0.000     0.000     0.000     0.000     0.000     2.000     1.000     0.000     0.000     0.000     0.000    -0.381     0.628 104771
     1.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.229     0.521 104811
     2.000     1.000     1.000     0.000     2.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.725     0.512 104901
     1.000     2.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     2.000     0.000     0.272     0.540 104911
